gop_len,第1次_2分钟,第2次_2分钟,第3次_2分钟,第4次_2分钟,第5次_2分钟,第6次_2分钟,第7次_2分钟,第8次_2分钟,第9次_2分钟,第10次_2分钟,第11次_2分钟,第12次_2分钟,第13次_2分钟,第14次_2分钟,第15次_2分钟,第16次_2分钟,第17次_2分钟,第18次_2分钟,第19次_2分钟,第20次_2分钟,第21次_2分钟,第22次_2分钟,第23次_2分钟,第24次_2分钟,第25次_2分钟,第26次_2分钟,第27次_2分钟,第28次_2分钟,第29次_2分钟,第30次_2分钟,第31次_2分钟,第32次_2分钟,第33次_2分钟,第34次_2分钟,第35次_2分钟,第36次_2分钟,第37次_2分钟,第38次_2分钟,第39次_2分钟,第40次_2分钟,第41次_2分钟,第42次_2分钟,第43次_2分钟,第44次_2分钟,第45次_2分钟,第46次_2分钟,第47次_2分钟,第48次_2分钟,第49次_2分钟,第50次_2分钟,第51次_2分钟,第52次_2分钟,第53次_2分钟,第54次_2分钟,第55次_2分钟,第56次_2分钟,第57次_2分钟,第58次_2分钟,第59次_2分钟,第60次_2分钟,第61次_2分钟,第62次_2分钟,第63次_2分钟,第64次_2分钟,第65次_2分钟,第66次_2分钟,第67次_2分钟,第68次_2分钟,第69次_2分钟,第70次_2分钟,第71次_2分钟,第72次_2分钟,第73次_2分钟,第74次_2分钟,第75次_2分钟,第76次_2分钟,第77次_2分钟,第78次_2分钟,第79次_2分钟,第80次_2分钟,第81次_2分钟,第82次_2分钟,第83次_2分钟,第84次_2分钟,第85次_2分钟,第86次_2分钟,第87次_2分钟,第88次_2分钟,第89次_2分钟,第90次_2分钟,第91次_2分钟,第92次_2分钟,第93次_2分钟,第94次_2分钟,第95次_2分钟,第96次_2分钟,第97次_2分钟,第98次_2分钟,第99次_2分钟,第100次_2分钟,第101次_2分钟,第102次_2分钟,第103次_2分钟,第104次_2分钟,第105次_2分钟,第106次_2分钟,第107次_2分钟,第108次_2分钟,第109次_2分钟,第110次_2分钟,第111次_2分钟,第112次_2分钟,第113次_2分钟,第114次_2分钟,第115次_2分钟,第116次_2分钟,第117次_2分钟,第118次_2分钟,第119次_2分钟,第120次_2分钟,第121次_2分钟,第122次_2分钟,第123次_2分钟,第124次_2分钟,第125次_2分钟,第126次_2分钟,第127次_2分钟,第128次_2分钟,第129次_2分钟,第130次_2分钟,第131次_2分钟,第132次_2分钟,第133次_2分钟,第134次_2分钟,第135次_2分钟,第136次_2分钟,第137次_2分钟,第138次_2分钟,第139次_2分钟,第140次_2分钟,第141次_2分钟,第142次_2分钟,第143次_2分钟,第144次_2分钟,第145次_2分钟,第146次_2分钟,第147次_2分钟,第148次_2分钟,第149次_2分钟,第150次_2分钟,均值
1,5805,5399,6136,5678,5498,6071,5696,5407,5948,5627,6279,5909,5514,6246,5812,5491,6107,5737,5364,6099,5668,6274,5951,5708,6240,6245,5539,5330,5941,5511,6244,5832,5446,6078,5742,5345,6045,5671,5338,5940,5608,5278,5975,5645,5311,6016,5571,6236,5936,5440,6203,5731,5470,6048,5810,5343,6067,5634,5264,6033,5702,6276,5940,5538,6145,5800,5508,6218,5818,5567,6113,5832,5323,6098,5561,5407,5896,5640,6208,5874,5501,6206,5810,5472,6144,5731,5330,6007,5670,5280,5872,5839,5365,6011,5632,6230,5904,5527,6170,5750,5410,6064,5674,5433,6138,5744,5369,6177,5704,5371,5900,5581,6201,5798,5547,6264,6045,5598,6380,5909,5538,6209,5744,5443,5952,5664,6285,5975,5520,6303,5863,5548,6368,6004,5714,5572,6160,6003,5505,6303,5872,5444,6080,5709,5399,6015,5739,5440,6127,5696,5799.64
2,5608,6366,6905,5607,6220,6929,5538,6205,6840,5538,6138,6904,5347,6063,6653,5407,5878,6652,7233,5975,6552,7254,5974,6671,7153,5826,6400,7105,5639,6371,6961,5744,6277,6980,5524,6311,6837,5682,6206,6875,5475,6242,6701,5448,6033,6805,5408,6005,6606,7340,6015,6608,7152,5797,6515,7065,5740,6367,7065,5608,6298,7008,5604,6234,6781,5481,6141,6775,5536,6139,6820,5634,6167,6881,7300,6037,6675,7343,6013,6706,7197,5975,6639,7251,5875,6573,7171,5830,6435,7050,5714,6383,6964,5647,6385,6933,5697,6246,6872,5444,6080,6681,5415,5966,6644,7264,5908,6572,7217,5876,6463,7168,5739,6439,7079,5747,6311,6966,5753,6368,7029,5565,6282,6904,5533,6177,6876,5409,6105,6704,5363,5970,6720,7307,5970,6609,7248,5845,6498,7135,5679,6447,7199,5626,6279,6970,5575,6403,6913,5559,6345.013333333333333333333333
3,6332,6910,7553,8039,5537,6047,6574,7141,7745,8273,5799,6343,6819,7371,8051,5506,6115,6705,7206,7731,5363,5806,6381,6808,7341,7954,5514,6033,6547,7137,7672,8205,5884,6311,6846,7419,7950,5575,6001,6507,7117,7552,8097,5631,6302,6740,7343,7902,5439,5905,6434,7037,8047,8116,5707,6188,6674,7203,7842,5306,5878,6413,6911,7511,8040,5569,6096,6634,7141,7670,8272,5840,6304,6863,7550,8042,5574,6080,6554,7211,7661,8310,5870,6368,6974,7403,8017,5575,6075,6548,7148,7688,8202,5763,6301,6783,7338,7879,5408,5938,6471,7174,7608,8153,5603,6160,6750,7274,7837,5369,5939,6537,7070,7575,8169,5726,6319,6712,7309,7875,5434,6049,6542,7033,7635,8203,5704,6194,6711,7327,7839,5433,5969,6543,7111,7576,8169,5664,6144,6641,7248,7920,5463,5982,6398,7071,7576,8136,5743,6273,6802.64
4,7279,6768,6285,5808,9342,8876,8390,8014,7409,7044,6515,6144,5643,9233,8715,8308,7954,7475,6998,6412,5942,5451,8983,8534,8005,7611,7136,6599,6203,5775,9323,8778,8305,8081,7620,7076,6469,6098,5635,9313,8788,8262,7807,7345,7014,6543,6083,5643,9251,8736,8266,8015,7701,7312,6742,6149,5839,9344,8872,8478,7971,7679,7111,6574,6171,5669,9221,8754,8243,7808,7305,6870,6405,5841,5415,8940,8503,8042,7541,7094,6710,6271,5776,9278,8866,8405,7938,7512,7079,6597,6180,5703,9233,8728,8295,7872,7279,6945,6440,5935,5536,9282,8577,8202,7912,7371,6908,6460,5917,5438,8945,8487,8040,7637,7204,6742,6336,5862,5373,9008,8404,8077,7875,7312,6894,6304,5977,5360,9048,8465,8128,7705,7240,6711,6283,5841,9314,8813,8372,7905,7561,7041,6584,6046,5645,9108,8684,8312,8017,7513,7411.426666666666666666666667
5,7271,5803,9408,7804,6335,9780,8400,6905,5473,9073,7515,6072,9688,8201,6683,10219,8706,7481,5968,9410,8016,6432,9935,8489,7077,5632,9208,7751,6317,9816,8384,6880,5534,8987,7670,6208,9725,8272,6704,5260,8734,7347,5882,9483,7936,6475,10009,8443,7108,5629,9205,7768,6411,9879,8443,6943,5528,10080,7509,6075,9616,8143,6680,10173,8801,7283,5940,9409,7912,6611,10068,8621,7071,5650,9129,7805,6204,9771,8322,6805,5409,8948,7471,6118,9572,8177,6761,5264,8851,7386,5947,9488,8017,6570,10111,8576,7168,5748,9279,7771,6272,9798,8327,7048,5543,9076,7682,6135,9707,8238,6705,10202,8810,7513,6071,9542,8070,6560,10107,8541,7243,5800,9375,7840,6365,9944,8480,7079,5543,9114,7608,6208,9744,8352,6778,5417,8900,7600,6148,9611,8112,6648,10210,8727,7313,5824,9417,7840,6377,9856,7796.3
6,8148,5567,9185,6636,10249,7670,11249,8813,6348,9883,7482,10957,8554,6050,9618,7069,10684,8239,5780,9475,6770,10338,7833,5435,8938,6470,10006,7480,11080,8566,6178,9674,7248,10712,8234,6070,9585,7045,10581,8054,5509,9147,6552,10032,7736,5308,8864,6342,9880,7315,10917,8339,5979,9570,7942,10657,8244,5693,9322,6739,10246,7733,5406,8965,6482,10016,7535,11156,8535,6328,9708,7281,10818,8438,6002,9571,7037,10638,8113,5562,9065,6704,10150,7737,11173,8747,6399,9856,7401,10908,8457,6108,9542,7103,10584,8139,5756,9108,6572,10184,7706,11176,8776,6438,9942,7410,11061,8439,6071,9689,7217,10685,8076,5784,9207,6685,10173,7737,11281,8890,6469,9910,7475,10932,8548,6007,9576,7039,10624,8146,5743,9377,6768,10268,7815,5442,9134,6630,10136,7736,11281,8777,6360,9863,7378,10949,8474,6013,9581,7109,8342.04
7,8511,12057,8520,12031,8620,12149,8652,12217,8703,5376,8906,5397,8903,5477,9044,5552,9049,5694,9167,5695,9262,5813,9344,5839,9400,5904,9409,5981,9518,6036,9572,6129,9679,6209,9875,6336,9881,6497,10032,6447,9967,6443,10049,6572,10108,6577,10076,6712,10251,6738,10246,7017,10448,7009,10489,7062,10579,7110,10650,7254,10737,7271,10806,7345,10882,7443,10984,7508,11049,7811,11173,7734,11483,7904,11384,8002,11511,8052,11544,8377,11684,8139,11738,8278,11745,8412,11870,8536,12039,8530,11994,8432,12062,8568,12151,8720,12219,8673,12287,8815,5445,8980,5626,9011,5440,9008,5672,9271,5776,9336,5778,9334,5839,9410,5919,9501,6001,9448,6112,9744,6070,9631,6374,9740,6160,9749,6219,9745,6282,9851,6327,9809,6416,9920,6545,9979,6575,10072,6506,10142,6913,10239,6712,10434,6779,10274,6839,10367,6895,10408,8605.033333333333333333333333
8,5968,9636,13114,8639,12181,7809,11345,6845,10340,5875,9443,12939,8422,12079,7570,11109,6841,10081,5607,9114,12643,8131,11715,7386,10920,6359,9953,5403,8983,12486,8051,11468,7153,10912,6270,9778,13280,8825,12362,7872,11315,6972,10476,6064,9614,13135,8582,12140,7780,11286,6905,10439,6108,9610,13119,8649,12185,7779,11338,6904,10354,5984,9581,13112,8537,12087,7644,11184,6796,10206,5879,9353,12918,8337,11948,7442,11017,6573,10069,5715,9107,12748,8244,11778,7413,10806,6474,9874,5407,9050,12609,8154,11533,7087,10658,6102,9695,13168,8736,12350,7847,11442,7004,10477,6016,9502,13088,8608,12046,7576,11102,6731,10220,5744,9264,12909,8274,11936,7513,11052,6485,10178,5640,9144,12685,8199,11705,7313,10799,6345,9937,5376,8985,12544,7964,11547,7170,10642,6137,9755,13199,8782,12249,7839,11307,6863,10398,6104,9464,13034,9381.173333333333333333333333
9,10151,13680,8245,11797,6176,9855,13287,7839,11347,5903,9438,13007,7631,11119,5673,9209,12786,7269,10941,5446,8982,12417,7096,10508,13987,8546,12004,6644,10144,13715,8232,11677,6234,9908,13418,7877,11480,5936,9528,13046,7640,11216,5581,9273,12720,7279,10680,14289,8838,12445,6866,10476,13984,8635,11917,6407,9985,13403,8034,11602,6066,9817,13357,7949,11456,5936,9546,13041,7685,11113,5700,9249,12780,7277,10865,5431,8842,12379,6874,10420,14041,8480,12111,6678,10146,13673,8208,11840,6278,9809,13469,7989,11480,6068,9508,13038,7712,11185,5741,9217,12814,7381,10950,5535,9047,12542,7033,10676,14176,8611,12240,6903,10377,13915,8389,11913,6535,10076,13606,8136,11568,6262,9702,14200,7779,11261,5782,9265,12892,7409,10935,5403,9045,12536,7106,10644,14188,8708,12219,6707,10372,13925,8395,11947,6508,10015,13543,8009,11543,6076,9804.673333333333333333333333
10,10942,14454,7901,11452,14978,8485,11988,5548,9081,12610,6232,9683,13312,6743,10312,13786,7576,11101,14474,8100,11669,15291,8704,12236,5883,9456,12952,6384,10013,13554,7043,10643,14166,7742,11039,14720,8137,11642,15202,8779,12307,5795,9385,13008,6553,10085,13614,7151,10642,14147,7739,11341,14874,8353,11835,5409,8945,12513,6142,9639,13161,6704,10218,13665,7184,10716,14258,7809,11344,14912,8407,11943,5434,9025,12574,6072,9573,13107,6775,10452,13912,7445,10911,14490,7945,11436,14981,8514,12048,5701,9239,12750,6306,9735,13542,6900,10386,14046,7612,11173,14818,8206,11791,15325,8698,12241,5874,9406,12949,6442,9925,13488,7076,10708,14112,7682,11212,14752,8297,11748,15284,8877,12384,5912,9460,12992,6473,10078,13615,7111,10674,14254,7735,11485,15019,8519,12082,5581,8977,12571,6140,9649,13153,6683,10178,13778,7233,10778,14352,7803,10396.5
