gop_len,第1次_2分钟,第2次_2分钟,第3次_2分钟,第4次_2分钟,第5次_2分钟,第6次_2分钟,第7次_2分钟,第8次_2分钟,第9次_2分钟,第10次_2分钟,第11次_2分钟,第12次_2分钟,第13次_2分钟,第14次_2分钟,第15次_2分钟,第16次_2分钟,第17次_2分钟,第18次_2分钟,第19次_2分钟,第20次_2分钟,第21次_2分钟,第22次_2分钟,第23次_2分钟,第24次_2分钟,第25次_2分钟,第26次_2分钟,第27次_2分钟,第28次_2分钟,第29次_2分钟,第30次_2分钟,第31次_2分钟,第32次_2分钟,第33次_2分钟,第34次_2分钟,第35次_2分钟,第36次_2分钟,第37次_2分钟,第38次_2分钟,第39次_2分钟,第40次_2分钟,第41次_2分钟,第42次_2分钟,第43次_2分钟,第44次_2分钟,第45次_2分钟,第46次_2分钟,第47次_2分钟,第48次_2分钟,第49次_2分钟,第50次_2分钟,第51次_2分钟,第52次_2分钟,第53次_2分钟,第54次_2分钟,第55次_2分钟,第56次_2分钟,第57次_2分钟,第58次_2分钟,第59次_2分钟,第60次_2分钟,第61次_2分钟,第62次_2分钟,第63次_2分钟,第64次_2分钟,第65次_2分钟,第66次_2分钟,第67次_2分钟,第68次_2分钟,第69次_2分钟,第70次_2分钟,第71次_2分钟,第72次_2分钟,第73次_2分钟,第74次_2分钟,第75次_2分钟,第76次_2分钟,第77次_2分钟,第78次_2分钟,第79次_2分钟,第80次_2分钟,第81次_2分钟,第82次_2分钟,第83次_2分钟,第84次_2分钟,第85次_2分钟,第86次_2分钟,第87次_2分钟,第88次_2分钟,第89次_2分钟,第90次_2分钟,第91次_2分钟,第92次_2分钟,第93次_2分钟,第94次_2分钟,第95次_2分钟,第96次_2分钟,第97次_2分钟,第98次_2分钟,第99次_2分钟,第100次_2分钟,第101次_2分钟,第102次_2分钟,第103次_2分钟,第104次_2分钟,第105次_2分钟,第106次_2分钟,第107次_2分钟,第108次_2分钟,第109次_2分钟,第110次_2分钟,第111次_2分钟,第112次_2分钟,第113次_2分钟,第114次_2分钟,第115次_2分钟,第116次_2分钟,第117次_2分钟,第118次_2分钟,第119次_2分钟,第120次_2分钟,第121次_2分钟,第122次_2分钟,第123次_2分钟,第124次_2分钟,第125次_2分钟,第126次_2分钟,第127次_2分钟,第128次_2分钟,第129次_2分钟,第130次_2分钟,第131次_2分钟,第132次_2分钟,第133次_2分钟,第134次_2分钟,第135次_2分钟,第136次_2分钟,第137次_2分钟,第138次_2分钟,第139次_2分钟,第140次_2分钟,第141次_2分钟,第142次_2分钟,第143次_2分钟,第144次_2分钟,第145次_2分钟,第146次_2分钟,第147次_2分钟,第148次_2分钟,第149次_2分钟,第150次_2分钟,均值
1,1352,1297,1328,1369,1338,1357,1407,1432,1362,1302,1344,1378,1371,1338,1335,1377,1363,1360,1401,1375,1406,1395,1326,1273,1356,1332,1348,1336,1369,1360,1373,1334,1373,1365,1338,1367,1326,1263,1344,1338,1333,1377,1338,1326,1396,1368,1364,1323,1343,1363,1398,1369,1361,1403,1369,1366,1336,1367,1370,1341,1291,1356,1341,1365,1325,1228,1379,1371,1331,1368,1410,1360,1356,1368,1374,1354,1360,1376,1368,1363,1373,1363,1376,1354,1407,1369,1342,1359,1362,1343,1345,1368,1336,1361,1342,1364,1345,1358,1333,1341,1309,1332,1298,1342,1378,1405,1367,1229,1358,1367,1349,1368,1337,1334,1380,1336,1368,1337,1402,1400,1325,1369,1373,1372,1236,1377,1345,1340,1337,1371,1368,1372,1397,1335,1335,1278,1372,1363,1334,1337,1336,1386,1362,1376,1339,1376,1338,1369,1375,1393,1353.906666666666666666666667
2,1405,1381,1338,1359,1337,1379,1343,1375,1359,1339,1374,1405,1344,1372,1335,1343,1347,1431,1330,1367,1408,1375,1328,1356,1343,1380,1331,1340,1338,1374,1371,1359,1324,1338,1336,1369,1329,1339,1398,1400,1374,1323,1398,1373,1340,1339,1376,1238,1365,1332,1373,1376,1380,1311,1329,1401,1342,1359,1383,1344,1332,1340,1327,1339,1372,1368,1346,1334,1368,1363,1361,1344,1237,1374,1365,1334,1312,1341,1336,1325,1397,1373,1367,1360,1376,1375,1368,1392,1339,1365,1372,1376,1374,1370,1410,1364,1375,1379,1337,1359,1373,1341,1377,1366,1375,1287,1372,1366,1410,1361,1371,1374,1326,1374,1334,1347,1335,1369,1368,1376,1323,1325,1370,1360,1373,1345,1378,1366,1368,1366,1333,1387,1405,1361,1366,1329,1334,1343,1339,1346,1376,1341,1337,1370,1385,1277,1329,1369,1263,1373,1356.266666666666666666666667
3,1304,1358,1364,1350,1342,1358,1361,1377,1340,1337,1297,1335,1339,1339,1338,1372,1365,1368,1336,1362,1399,1327,1374,1301,1373,1376,1326,1341,1337,1371,1377,1363,1346,1327,1330,1375,1369,1369,1339,1333,1336,1346,1341,1377,1369,1335,1332,1332,1333,1372,1301,1331,1358,1377,1376,1365,1343,1336,1336,1328,1305,1398,1368,1332,1367,1339,1334,1376,1348,1332,1339,1379,1377,1366,1369,1321,1356,1319,1327,1331,1409,1367,1364,1337,1343,1344,1336,1355,1340,1325,1371,1405,1364,1338,1328,1339,1336,1375,1307,1335,1367,1369,1366,1232,1329,1357,1343,1295,1369,1369,1362,1340,1369,1343,1239,1332,1374,1326,1360,1366,1363,1360,1354,1358,1335,1342,1379,1331,1357,1345,1363,1372,1333,1335,1323,1328,1307,1395,1368,1371,1338,1337,1347,1337,1322,1363,1400,1394,1336,1361,1348.54
4,1381,1330,1345,1378,1301,1369,1341,1335,1367,1337,1339,1336,1342,1335,1312,1345,1304,1368,1376,1377,1372,1322,1336,1367,1305,1336,1336,1327,1376,1327,1367,1329,1363,1302,1328,1342,1325,1366,1372,1337,1344,1370,1347,1313,1338,1325,1377,1379,1361,1335,1368,1360,1335,1378,1231,1340,1375,1326,1377,1359,1368,1367,1337,1196,1359,1370,1371,1336,1364,1376,1336,1324,1328,1278,1369,1339,1345,1320,1372,1346,1367,1341,1302,1334,1326,1341,1339,1329,1310,1337,1340,1306,1326,1369,1331,1370,1370,1354,1337,1368,1358,1327,1340,1364,1338,1375,1364,1335,1331,1328,1338,1395,1360,1332,1334,1370,1337,1332,1334,1340,1293,1374,1407,1331,1335,1330,1301,1333,1352,1336,1370,1337,1360,1339,1369,1340,1337,1335,1344,1380,1370,1360,1245,1328,1338,1379,1327,1342,1336,1362,1343.406666666666666666666667
5,1367,1366,1406,1396,1330,1352,1296,1336,1415,1368,1326,1362,1333,1338,1345,1330,1371,1360,1365,1362,1328,1334,1330,1345,1333,1338,1345,1379,1378,1366,1375,1335,1342,1330,1337,1335,1367,1330,1364,1329,1359,1377,1374,1340,1347,1374,1338,1361,1336,1409,1376,1364,1336,1338,1366,1369,1376,1364,1365,1332,1320,1371,1368,1369,1325,1369,1373,1333,1367,1324,1338,1331,1340,1358,1369,1361,1327,1405,1333,1343,1304,1296,1361,1371,1403,1325,1343,1336,1328,1338,1346,1328,1338,1408,1375,1337,1360,1372,1377,1365,1332,1402,1387,1381,1362,1370,1333,1371,1345,1381,1328,1360,1327,1376,1345,1348,1344,1348,1309,1306,1413,1333,1324,1273,1337,1334,1336,1322,1328,1359,1367,1374,1371,1363,1377,1334,1366,1338,1341,1355,1367,1359,1334,1370,1326,1331,1336,1296,1332,1412,1351.62
6,1372,1376,1380,1344,1335,1344,1334,1373,1377,1345,1341,1380,1333,1344,1326,1366,1362,1362,1365,1358,1360,1332,1335,1333,1339,1340,1407,1332,1333,1342,1375,1306,1337,1376,1379,1382,1422,1325,1353,1372,1342,1312,1340,1380,1369,1375,1338,1213,1328,1355,1327,1397,1376,1364,1366,1332,1332,1370,1342,1338,1374,1362,1374,1374,1292,1343,1325,1352,1330,1343,1393,1374,1332,1374,1346,1369,1341,1371,1368,1333,1334,1319,1380,1378,1363,1329,1326,1327,1371,1368,1366,1357,1360,1368,1405,1345,1341,1369,1339,1323,1369,1365,1328,1338,1331,1331,1340,1332,1358,1370,1363,1370,1336,1356,1345,1334,1361,1334,1410,1333,1376,1365,1338,1339,1341,1326,1306,1376,1361,1334,1366,1362,1374,1371,1340,1349,1366,1344,1377,1367,1376,1381,1366,1339,1331,1299,1339,1376,1399,1336,1352.366666666666666666666667
7,1375,1370,1358,1327,1341,1342,1345,1361,1395,1334,1347,1369,1334,1328,1328,1336,1396,1407,1371,1365,1368,1363,1328,1332,1346,1380,1360,1367,1363,1360,1371,1371,1343,1345,1329,1407,1330,1360,1339,1372,1327,1336,1300,1299,1343,1370,1331,1340,1321,1329,1337,1357,1349,1367,1360,1369,1369,1345,1340,1337,1375,1330,1342,1334,1333,1357,1342,1369,1326,1362,1327,1349,1344,1374,1357,1328,1410,1344,1332,1322,1344,1342,1335,1399,1339,1362,1368,1328,1339,1378,1340,1371,1373,1349,1359,1379,1329,1378,1367,1374,1325,1303,1377,1336,1363,1361,1332,1332,1363,1333,1329,1336,1364,1367,1371,1331,1339,1335,1339,1346,1360,1374,1371,1336,1339,1367,1338,1404,1376,1372,1403,1366,1324,1370,1326,1361,1375,1335,1314,1430,1367,1372,1406,1368,1333,1341,1339,1336,1311,1370,1352.433333333333333333333333
8,1363,1371,1392,1372,1328,1297,1372,1336,1339,1339,1328,1407,1347,1370,1332,1324,1332,1397,1334,1360,1340,1329,1361,1369,1328,1339,1376,1333,1376,1307,1368,1369,1375,1338,1359,1363,1334,1360,1212,1340,1366,1372,1336,1328,1338,1335,1364,1312,1339,1369,1373,1364,1377,1358,1328,1333,1401,1341,1369,1330,1343,1340,1331,1369,1379,1337,1338,1342,1397,1370,1328,1324,1366,1332,1326,1373,1343,1374,1369,1376,1376,1322,1370,1344,1328,1381,1327,1369,1335,1372,1360,1336,1341,1360,1335,1383,1401,1383,1339,1373,1340,1365,1376,1376,1340,1331,1363,1341,1337,1338,1366,1338,1331,1347,1337,1411,1383,1371,1372,1368,1336,1336,1367,1339,1338,1396,1359,1366,1328,1342,1323,1335,1380,1299,1399,1335,1373,1356,1379,1325,1375,1331,1335,1359,1370,1362,1360,1336,1367,1331,1352.06
9,1346,1366,1360,1333,1332,1364,1337,1376,1307,1379,1378,1371,1369,1365,1331,1288,1345,1325,1336,1369,1338,1327,1367,1337,1373,1369,1403,1300,1358,1339,1328,1336,1328,1359,1339,1303,1334,1396,1363,1370,1365,1334,1334,1332,1338,1299,1365,1372,1360,1410,1328,1347,1346,1330,1335,1338,1365,1399,1367,1322,1364,1335,1368,1338,1335,1364,1364,1332,1442,1363,1342,1377,1238,1332,1305,1364,1366,1324,1370,1342,1336,1328,1335,1358,1328,1363,1335,1404,1361,1341,1380,1313,1360,1339,1407,1334,1365,1373,1331,1370,1231,1368,1336,1361,1364,1402,1365,1341,1378,1416,1340,1312,1370,1369,1373,1373,1369,1328,1353,1326,1369,1301,1357,1362,1405,1334,1361,1366,1331,1336,1333,1335,1370,1373,1408,1361,1362,1342,1328,1346,1409,1361,1370,1370,1338,1333,1337,1337,1349,1365,1351.2
10,1372,1377,1344,1345,1372,1367,1374,1360,1329,1361,1369,1378,1360,1334,1374,1408,1330,1350,1364,1383,1363,1374,1408,1325,1333,1338,1340,1340,1337,1371,1359,1378,1336,1379,1369,1331,1340,1359,1365,1371,1355,1337,1338,1333,1336,1331,1338,1375,1363,1364,1369,1371,1329,1370,1384,1337,1360,1227,1375,1340,1360,1376,1345,1367,1327,1403,1371,1369,1335,1330,1375,1325,1375,1347,1336,1360,1366,1397,1372,1372,1366,1340,1369,1336,1363,1376,1372,1359,1361,1337,1375,1338,1339,1341,1368,1371,1383,1360,1359,1332,1328,1345,1363,1366,1410,1367,1399,1328,1400,1373,1369,1329,1367,1362,1368,1379,1369,1367,1330,1348,1324,1328,1364,1329,1374,1338,1371,1366,1375,1343,1372,1393,1361,1360,1371,1360,1329,1341,1337,1385,1332,1373,1412,1364,1357,1296,1356,1343,1372,1337,1357.213333333333333333333333
