gop_len,第1次_2分钟,第2次_2分钟,第3次_2分钟,第4次_2分钟,第5次_2分钟,第6次_2分钟,第7次_2分钟,第8次_2分钟,第9次_2分钟,第10次_2分钟,第11次_2分钟,第12次_2分钟,第13次_2分钟,第14次_2分钟,第15次_2分钟,第16次_2分钟,第17次_2分钟,第18次_2分钟,第19次_2分钟,第20次_2分钟,第21次_2分钟,第22次_2分钟,第23次_2分钟,第24次_2分钟,第25次_2分钟,第26次_2分钟,第27次_2分钟,第28次_2分钟,第29次_2分钟,第30次_2分钟,第31次_2分钟,第32次_2分钟,第33次_2分钟,第34次_2分钟,第35次_2分钟,第36次_2分钟,第37次_2分钟,第38次_2分钟,第39次_2分钟,第40次_2分钟,第41次_2分钟,第42次_2分钟,第43次_2分钟,第44次_2分钟,第45次_2分钟,第46次_2分钟,第47次_2分钟,第48次_2分钟,第49次_2分钟,第50次_2分钟,第51次_2分钟,第52次_2分钟,第53次_2分钟,第54次_2分钟,第55次_2分钟,第56次_2分钟,第57次_2分钟,第58次_2分钟,第59次_2分钟,第60次_2分钟,第61次_2分钟,第62次_2分钟,第63次_2分钟,第64次_2分钟,第65次_2分钟,第66次_2分钟,第67次_2分钟,第68次_2分钟,第69次_2分钟,第70次_2分钟,第71次_2分钟,第72次_2分钟,第73次_2分钟,第74次_2分钟,第75次_2分钟,第76次_2分钟,第77次_2分钟,第78次_2分钟,第79次_2分钟,第80次_2分钟,第81次_2分钟,第82次_2分钟,第83次_2分钟,第84次_2分钟,第85次_2分钟,第86次_2分钟,第87次_2分钟,第88次_2分钟,第89次_2分钟,第90次_2分钟,第91次_2分钟,第92次_2分钟,第93次_2分钟,第94次_2分钟,第95次_2分钟,第96次_2分钟,第97次_2分钟,第98次_2分钟,第99次_2分钟,第100次_2分钟,第101次_2分钟,第102次_2分钟,第103次_2分钟,第104次_2分钟,第105次_2分钟,第106次_2分钟,第107次_2分钟,第108次_2分钟,第109次_2分钟,第110次_2分钟,第111次_2分钟,第112次_2分钟,第113次_2分钟,第114次_2分钟,第115次_2分钟,第116次_2分钟,第117次_2分钟,第118次_2分钟,第119次_2分钟,第120次_2分钟,第121次_2分钟,第122次_2分钟,第123次_2分钟,第124次_2分钟,第125次_2分钟,第126次_2分钟,第127次_2分钟,第128次_2分钟,第129次_2分钟,第130次_2分钟,第131次_2分钟,第132次_2分钟,第133次_2分钟,第134次_2分钟,第135次_2分钟,第136次_2分钟,第137次_2分钟,第138次_2分钟,第139次_2分钟,第140次_2分钟,第141次_2分钟,第142次_2分钟,第143次_2分钟,第144次_2分钟,第145次_2分钟,第146次_2分钟,第147次_2分钟,第148次_2分钟,第149次_2分钟,第150次_2分钟,均值
1,2914,2568,3240,2943,2541,3214,2766,2417,3033,2702,2367,2968,2672,2261,2932,2664,2303,2877,2544,3158,2879,2508,3103,2732,2410,3005,2779,2407,3077,2735,2402,3006,2750,2364,3009,2567,3200,2840,2533,3111,2865,2466,3137,2807,2442,3057,2732,2362,3005,2635,2271,2981,2635,3264,2929,2602,3233,2800,2538,3105,2700,2410,3014,2640,2308,2971,2686,3202,2866,2504,3118,2766,2442,3073,2674,2318,2970,2635,2370,2903,2564,3190,2826,2528,3211,2831,2496,3104,2735,2469,2968,2624,2304,2940,2639,2373,3005,2628,3280,2939,2452,3107,2740,2508,3134,2813,2543,3137,2782,2370,3003,2707,2339,2925,2672,3235,2942,2576,3297,2880,2595,3223,2760,2410,3025,2735,2416,2972,2683,2410,3142,2809,2533,3068,2730,2365,3042,2701,2441,3037,2712,3266,2975,2608,3172,2875,2408,3068,2738,2491,2774.42
2,4233,4891,3504,4099,4766,3366,3965,4561,5270,3912,4584,5211,3876,4472,5148,3903,4543,5102,3745,4411,5009,3641,4297,4970,3606,4207,4937,3507,4122,4766,3395,4074,4664,3348,3971,4636,5241,4010,4671,5233,3809,4570,5110,3793,4848,5046,3685,4298,5083,3704,4261,4942,3598,4168,4805,3570,4133,4781,3449,4060,4830,3513,4112,4644,3297,3896,4548,5158,3875,4583,5144,3730,4403,5015,3733,4293,4970,3629,4238,4913,3593,4243,4969,3564,4264,4903,3573,4112,4697,3380,4046,4638,5269,3979,4749,5305,3934,4560,5193,3936,4584,5141,3844,4544,5068,3739,4365,5081,3673,4380,4952,3563,4307,4870,3507,4165,4782,3404,4166,4740,3465,4065,4640,3370,4073,4718,3361,4045,4614,5286,3878,4641,5096,3727,4433,5108,3850,4433,5029,3776,4304,4979,3589,4265,4976,3572,4241,4970,3572,4271,4321.553333333333333333333333
3,4647,5173,5570,6206,6672,7234,4807,5372,5933,6473,7052,4669,5278,5800,6397,6974,4396,4959,5527,6107,6669,7249,4752,5301,5841,6406,6975,4527,5151,5776,6213,6752,4371,4834,5371,6004,6532,7039,4593,5168,5709,6275,6849,4374,4948,5506,6097,6604,7136,4663,2478,5741,6335,6913,4437,4948,5528,6027,6582,4286,4716,5232,5633,6281,6707,1501,4911,5473,6019,6549,7125,4641,5207,5751,6277,6874,4402,4933,5446,5905,3701,4223,4644,5138,5707,3372,6679,1496,4834,5403,5839,6476,7104,4639,2365,5709,6243,6719,1561,4775,5408,5936,3658,7040,4526,5036,5562,3403,6777,4267,4912,5413,5909,6472,7007,4569,5079,5672,6146,6713,1504,4845,5296,3302,6544,7075,4614,5172,5628,3431,6709,7313,4740,5334,5840,6480,6940,4541,2374,5669,6176,6737,4299,4887,5395,5954,6445,6916,4511,2344,5432.906666666666666666666667
4,6607,6170,5732,9267,8809,8410,7967,7517,7111,6705,6274,5841,5401,8939,8515,8043,7608,7169,6746,6481,5909,5548,8976,8481,8005,7600,7103,6676,6214,5784,5310,8848,8397,8012,7528,7077,6635,6304,5848,5380,8872,8471,8042,7575,7139,6642,6174,5747,9309,8894,8441,7977,7536,7158,6654,6136,5745,5354,8879,8446,8042,7608,7161,6706,6281,5843,5542,9046,8583,8073,7634,7189,6711,6233,5775,5349,8946,8478,8072,7645,7176,6699,6309,5799,5409,8983,8475,8002,7574,7111,6629,6211,5751,5306,8868,8454,7969,7506,7135,6694,6175,5730,9265,8800,8375,8019,7538,7138,6799,6212,5737,5308,8834,8356,8027,7571,6998,6543,6114,5637,9169,8710,8574,7870,7338,7183,6408,5938,5431,9054,8563,8106,7631,7341,6667,6211,5779,5303,8848,8374,7863,7435,7018,6547,6072,5629,9199,8753,8385,7803,7249.953333333333333333333333
5,7282,10785,9279,7940,6406,9947,8437,7113,10484,9199,7633,11174,9743,8170,6845,10311,8909,7473,10953,9608,8213,6696,10216,8703,7216,10777,9318,7913,6473,10053,8575,7093,10644,9341,7888,6335,9943,8421,6942,10473,9040,7570,11069,9618,8143,6665,10206,8733,7304,10922,9384,8000,6549,9944,8402,7046,10506,9071,7610,11137,9680,8241,6781,10310,8830,7404,11081,9572,8108,6640,10186,8718,7216,10752,9245,7801,6371,9903,8474,7046,10645,9144,7647,11208,9757,8318,6872,10342,8911,7439,10986,9515,8079,6675,10442,8833,7395,10876,9344,7881,6452,9986,8476,7244,10580,9148,7678,11221,9742,8289,6770,10373,9009,7483,10966,9518,8046,6569,10111,8641,7146,10714,9310,7815,6336,9931,8484,7004,10644,9176,7601,11147,9739,8244,6772,10333,8904,7467,10976,9509,8041,6599,10190,8703,7246,10815,9253,7736,6273,9841,8778.413333333333333333333333
6,7936,11591,9120,12542,10043,7611,11086,8642,12176,9712,13240,10780,8320,11824,9376,12909,10480,8067,11544,9040,12577,10037,7567,11104,8671,12207,9881,7328,10955,8436,11914,9408,12989,10539,8046,11755,9177,12717,10306,7807,11278,8835,12340,9904,7468,10988,8577,12113,9644,13149,10720,8239,11743,9339,12983,10351,7866,11408,8950,12486,10025,7575,11327,8609,12186,9743,13247,10752,8287,11821,9327,12909,10547,8052,11536,9072,12601,10112,7730,11152,8710,12275,9812,7302,10867,8555,11977,9614,13051,10519,8077,11615,9219,12749,10279,7804,11345,8913,12413,9964,7577,11049,8569,12085,9618,13149,10647,8203,11704,9286,12847,10383,7947,11437,9001,12679,10110,7709,11138,8674,12247,9777,13282,10800,8345,11888,9420,12953,10444,8048,11617,9121,12689,10216,7743,11351,8800,12338,9904,7431,10967,8498,12003,9584,13077,10657,8171,11708,9313,12849,10323.76
7,5920,9416,12978,9579,13046,9525,13045,9578,13121,9715,13255,9839,13411,9815,13383,9844,13406,9968,13510,10082,13572,10112,13652,10221,13754,10244,13825,10488,13919,10576,14019,10576,14045,10610,14142,10644,14187,10716,14286,10849,14345,10916,14480,11146,14524,11047,14572,11305,14785,11266,14779,11308,14848,11347,14939,11442,14984,11579,15092,11637,15136,11753,15223,11705,15250,11784,8300,11880,8414,11944,8488,12016,8551,12045,8608,12144,8800,12412,8810,12407,8878,12480,9005,12514,9043,12584,9131,12667,9212,12744,9281,12922,9341,12871,9455,13048,9522,13183,9607,13148,9642,13172,9699,13273,9843,13380,9880,13549,10074,13679,10203,13703,10220,13755,10330,13952,10401,13944,10529,14063,10614,14108,10687,14192,10787,14326,10907,14355,10951,14452,10950,14488,11046,14617,11143,14684,11191,14759,11275,14804,11341,14877,11552,15112,11578,15119,11647,15121,11642,15145,11988.54
8,7043,10576,14115,9608,13186,16723,12324,15828,11342,14927,10406,14193,9503,13045,16581,12140,15676,11255,14744,10288,13781,9306,12834,16378,11985,15531,11144,14572,10108,13617,17118,12835,16403,12012,15587,11074,14601,10149,13676,17210,12754,16290,11965,15513,10946,14482,10017,13562,17083,12606,16133,11684,15214,10811,14345,9843,13401,16946,12506,16127,11613,15042,10605,14143,9665,13201,16746,12283,15815,11312,14824,10413,13982,9512,13041,16581,12146,15682,11237,14867,10349,13813,9344,12922,16506,11954,15524,11056,14543,10115,13652,17314,12877,16342,11841,15406,10903,14431,9990,13516,17053,12654,16140,11717,15186,10737,14279,9876,13315,16953,12474,15972,11506,15075,10657,14135,9670,13213,16782,12346,15952,11445,14983,10624,14073,9640,13111,16690,12269,15850,11372,14889,10450,13947,9476,13010,16539,12144,15714,11254,14728,10236,13769,9316,12860,16392,11979,15554,11079,14617,13229.74666666666666666666667
9,6674,10204,13682,17208,11753,15284,18825,13316,16882,11447,14940,18513,13039,16614,11101,14613,18158,12682,16243,10748,14284,17719,12374,15919,10439,13984,17478,12039,15646,19183,13710,17254,11777,15322,18865,13378,16956,11466,14976,18514,13109,16670,11214,14738,18286,12807,16339,10864,14456,17952,12504,15977,10510,14047,17608,12079,15648,19174,13779,17314,11813,15403,18923,13544,17051,11534,15086,18551,13251,16722,11319,14814,18351,12910,16445,2232,5502,9008,12574,16118,10643,14186,17690,12246,15711,19312,13783,17328,11921,15459,18997,13520,17111,11609,15087,18684,13248,16816,11388,14862,18424,12951,16482,11025,14560,18119,12676,16182,10675,14273,17821,12347,15923,10409,13937,17513,12067,15587,19114,13640,17295,11744,6634,9870,13376,16894,11415,14987,18452,13047,16552,11135,14640,18111,12802,16342,10882,14391,17967,12485,16015,10544,5411,8639,3424,6707,10210,13775,8644,11800,14113.00666666666666666666667
10,6904,10185,13716,17261,20786,14310,17792,21312,14739,18384,11911,15449,19029,12575,16088,19687,13244,16750,20309,13778,17314,20954,14413,17953,11472,15057,18656,12167,15673,19247,12783,16318,19861,13278,16854,20360,13883,17377,20991,14443,17984,1764,5112,8607,12114,15745,19285,12890,16413,19992,3744,7010,10751,14053,7844,11089,4966,8172,11708,15222,18752,12316,15850,19358,12916,16454,20021,13478,17054,20588,14082,8105,11181,14781,18357,11842,15372,18910,12539,16019,19620,13107,16619,10448,13585,7516,10678,14271,17812,11321,14919,18453,11982,15488,19113,2941,6270,9784,13339,16855,20445,13882,17421,20910,14460,17997,11550,15084,18647,12150,15691,19187,12716,16254,19788,13283,16811,20428,13914,17483,20996,14587,18120,11610,15085,18721,12241,15830,19401,3280,6373,10449,13378,7349,10451,13992,17527,21058,14588,18180,11716,15294,18689,2606,5903,9439,13008,16547,20087,13653,14520.55333333333333333333333
